tabKey,equipmentId,equipmentName,basicInfo,parts,checks
tab1,BCH-1,水冷式儲冰主機,形式=螺旋或離心式|製冷能力=≧ 2180/1406 KW|冷媒種類=環保冷媒 (GWP<1450)|電源=480V / 3Ø / 60Hz|COP=≧ 5.16/3.9,水冷式儲冰主機:1|橡膠式避震墊及摯震裝置:4|性能會驗報告:1,"銘牌規格與設計相符|葉輪 (Impeller)： 須經靜力及動力平衡，並通過 15% 之超速測試證明|軸承 (Bearing)： 滷水機組（BCH）需採用襯套軸承|冷凝器 (Condenser)： 水冷殼管式，2 通（PASS）式，水側設計壓力不小於 1,034 kPa (150 psig)|蒸發器 (Evaporator)： 殼管式，2 通（PASS）式，水側設計壓力不小於 1,034 kPa (150 psig)，且低溫管路需作保溫處理|冷媒系統： 採用環境部認可之環保冷媒。壓縮機出口端需安裝關斷閥，維修時可將冷媒儲存於冷凝器內|啟動電流： 必須採用變頻啟動，確保起動電流不超過 2A|電流限制： 具備負載限制設定裝置，可手動設定最大運轉電流於滿載電流之 15% 至 100% 之間|馬達保護： 具備防止電源相序逆向運轉保護，且馬達在最大制動馬力下能作 30 分鐘間隔之連續啟停|噪音標準： 全負載噪音不得超過 87 dBA|真空測試： 需使用高真空泵產生 100μm 水柱之真空度，維持 24 小時後之損失不得超過 50μm 水柱|振動標準： 壓縮機運轉振動量評估應符合 ISO 10816-1 區域 B 之規定|通訊功能： 支援 MODBUS-RTU、MODBUS-TCP/IP 或 BACnet 開放式通訊協定，並可透過 Web 瀏覽器進行遠端操作管理"
tab1,BCH-2,水冷式儲冰主機,形式=螺旋或離心式|製冷能力=≧ 2180/1406 KW|冷媒種類=環保冷媒 (GWP<1450)|電源=480V / 3Ø / 60Hz|COP=≧ 5.16/3.9,水冷式儲冰主機:1|橡膠式避震墊及摯震裝置:4,"銘牌規格與設計相符|葉輪 (Impeller)： 須經靜力及動力平衡，並通過 15% 之超速測試證明|軸承 (Bearing)： 滷水機組（BCH）需採用襯套軸承|冷凝器 (Condenser)： 水冷殼管式，2 通（PASS）式，水側設計壓力不小於 1,034 kPa (150 psig)|蒸發器 (Evaporator)： 殼管式，2 通（PASS）式，水側設計壓力不小於 1,034 kPa (150 psig)，且低溫管路需作保溫處理|冷媒系統： 採用環境部認可之環保冷媒。壓縮機出口端需安裝關斷閥，維修時可將冷媒儲存於冷凝器內|啟動電流： 必須採用變頻啟動，確保起動電流不超過 2A|電流限制： 具備負載限制設定裝置，可手動設定最大運轉電流於滿載電流之 15% 至 100% 之間|馬達保護： 具備防止電源相序逆向運轉保護，且馬達在最大制動馬力下能作 30 分鐘間隔之連續啟停|噪音標準： 全負載噪音不得超過 87 dBA|真空測試： 需使用高真空泵產生 100μm 水柱之真空度，維持 24 小時後之損失不得超過 50μm 水柱|振動標準： 壓縮機運轉振動量評估應符合 ISO 10816-1 區域 B 之規定|通訊功能： 支援 MODBUS-RTU、MODBUS-TCP/IP 或 BACnet 開放式通訊協定，並可透過 Web 瀏覽器進行遠端操作管理"
tab1,滷水管線工程,滷水管線工程,滷水管線工程,不鏽鋼蝶閥 Φ250:27|不鏽鋼蝶閥 Φ300:15|不鏽鋼蝶閥 Φ350:3|Y型過濾器 Φ250:8|Y型過濾器 Φ300:3|緩衝靜音式逆止閥 Φ250:8|緩衝靜音式逆止閥 Φ300:3|高壓橡膠防震軟管 Φ250:20|高壓橡膠防震軟管 Φ300:10|比例式電動不鏽鋼蝶閥 Φ250:6|比例式電動不鏽鋼蝶閥 Φ350:2|不鏽鋼球塞閥 Φ20:27|不鏽鋼球塞閥 Φ25:4吋|不銹鋼 4吋 溫度計:32|不銹鋼 4吋 充油壓力錶:54|大流量自動釋氣閥 Φ25:4|乙二醇(50GAL):71,"銘牌規格與設計相符|管路流向標示|不鏽鋼水管支架"
tab1,CH-3,磁浮離心式冰水主機,形式=磁浮離心式|製冷能力=≧ 1406 KW|冷媒種類=環保冷媒 (GWP<1450)|電源=480V / 3Ø / 60Hz|軸承型式=磁浮無油軸承|COP=≧ 7.1,磁浮離心式冰水主機:1|橡膠式避震墊及摯震裝置:4|性能會驗報告:1,"銘牌規格與設計相符|無油磁浮軸承，具備自動對位及內部軸承多點定位偵測器|葉輪須經靜力及動力平衡，並通過 15% 超速測試|冷凝器 (Condenser)： 水冷殼管式，2 通（PASS）式，水側設計壓力不小於 1,034 kPa (150 psig)|蒸發器 (Evaporator)： 殼管式，2 通（PASS）式，水側設計壓力不小於 1,034 kPa (150 psig)，且低溫管路需作保溫處理|冷媒系統： 採用環境部認可之環保冷媒。壓縮機出口端需安裝關斷閥，維修時可將冷媒儲存於冷凝器內|啟動電流： 必須採用變頻啟動，確保起動電流不超過 2A|電流限制： 具備負載限制設定裝置，可手動設定最大運轉電流於滿載電流之 15% 至 100% 之間|馬達保護： 具備防止電源相序逆向運轉保護，且馬達在最大制動馬力下能作 30 分鐘間隔之連續啟停|噪音標準： 全負載噪音不得超過 87 dBA|真空測試： 需使用高真空泵產生 100μm 水柱之真空度，維持 24 小時後之損失不得超過 50μm 水柱|振動標準： 壓縮機運轉振動量評估應符合 ISO 10816-1 區域 B 之規定|通訊功能： 支援 MODBUS-RTU、MODBUS-TCP/IP 或 BACnet 開放式通訊協定，並可透過 Web 瀏覽器進行遠端操作管理"
tab1,CH-4,磁浮離心式冰水主機,形式=磁浮離心式|製冷能力=≧ 1406 KW|冷媒種類=環保冷媒 (GWP<1450)|電源=480V / 3Ø / 60Hz|軸承型式=磁浮無油軸承|COP=≧ 7.1,磁浮離心式冰水主機:1|橡膠式避震墊及摯震裝置:4,"銘牌規格與設計相符|無油磁浮軸承，具備自動對位及內部軸承多點定位偵測器|葉輪須經靜力及動力平衡，並通過 15% 超速測試|冷凝器 (Condenser)： 水冷殼管式，2 通（PASS）式，水側設計壓力不小於 1,034 kPa (150 psig)|蒸發器 (Evaporator)： 殼管式，2 通（PASS）式，水側設計壓力不小於 1,034 kPa (150 psig)，且低溫管路需作保溫處理|冷媒系統： 採用環境部認可之環保冷媒。壓縮機出口端需安裝關斷閥，維修時可將冷媒儲存於冷凝器內|啟動電流： 必須採用變頻啟動，確保起動電流不超過 2A|電流限制： 具備負載限制設定裝置，可手動設定最大運轉電流於滿載電流之 15% 至 100% 之間|馬達保護： 具備防止電源相序逆向運轉保護，且馬達在最大制動馬力下能作 30 分鐘間隔之連續啟停|噪音標準： 全負載噪音不得超過 87 dBA|真空測試： 需使用高真空泵產生 100μm 水柱之真空度，維持 24 小時後之損失不得超過 50μm 水柱|振動標準： 壓縮機運轉振動量評估應符合 ISO 10816-1 區域 B 之規定|通訊功能： 支援 MODBUS-RTU、MODBUS-TCP/IP 或 BACnet 開放式通訊協定，並可透過 Web 瀏覽器進行遠端操作管理"
tab1,冰水/冷卻水管線工程,冰水/冷卻水管線工程,冰水/冷卻水管線工程,不鏽鋼蝶閥 (齒輪式) Φ200:19|不鏽鋼蝶閥 (齒輪式) Φ250:18|不鏽鋼蝶閥 (齒輪式) Φ300:5|不鏽鋼蝶閥 (齒輪式) Φ350:1|Y型過濾器 Φ50:1|Y型過濾器 Φ65:5|Y型過濾器 Φ200:6|Y型過濾器 Φ250:6|緩衝靜音式逆止閥 Φ200:6|緩衝靜音式逆止閥 Φ250:6|雙瓣式逆止閥 Φ50:1|雙瓣式逆止閥 Φ65:5|高壓橡膠防震軟管 Φ50:2|高壓橡膠防震軟管 Φ65:10|高壓橡膠防震軟管 Φ200:16|高壓橡膠防震軟管 Φ250:16|比例式不鏽鋼蝶閥 Φ200:1|不鏽鋼球塞閥 Φ20:35|不鏽鋼球塞閥 Φ25:6|不鏽鋼球塞閥 Φ50:4|不鏽鋼球塞閥 Φ65:20|不銹鋼 4" 溫度計:20|不銹鋼 4" 壓力錶:44|大流量自動釋氣閥 Φ25:6,"銘牌規格與設計相符|管路流向標示|不鏽鋼水管支架"
tab1,ACH-1-1,氣冷變頻式冰水主機 #1-1,製冷能力=135 kW|輸入功率=45KW|壓縮機=1定2變頻|電源=480V / 3Ø / 60Hz|冷媒=R410a|COP=3,氣冷變頻式冰水主機:1|彈簧式避震器:4|性能會驗報告:1,銘牌規格與設計相符|防蝕處理： 散熱鋁片須進行防蝕處理（如藍色鰭片），底盤與機架應採用耐蝕材質或經防銹處理|變頻調節功能： 主機須具備變頻（Inverter）驅動，可根據空調負載需求自動調整壓縮機轉速，以達到節能效果|保護功能： 需具備高低壓力保護、防凍保護、過載保護、欠相保護及自動復歸功能|避震安裝： 主機須安裝於原廠提供之彈簧式避震器上，以減少運轉振動傳遞至建築結構|空間留設： 散熱進出風口須依原廠要求留設足夠空間，避免熱氣短循環影響效率|真空維持測試，停止泵運轉後維持 24 小時，真空度損失不得超過 50μm 水柱|散熱鰭片的完整性（無倒片或壓傷）|外部電源接線箱的防水等級
tab1,ACH-1-2,氣冷變頻式冰水主機 #1-2,製冷能力=135 kW|輸入功率=45KW|壓縮機=1定2變頻|電源=480V / 3Ø / 60Hz|冷媒=R410a|COP=3,氣冷變頻式冰水主機:1|彈簧式避震器:4,銘牌規格與設計相符|防蝕處理： 散熱鋁片須進行防蝕處理（如藍色鰭片），底盤與機架應採用耐蝕材質或經防銹處理|變頻調節功能： 主機須具備變頻（Inverter）驅動，可根據空調負載需求自動調整壓縮機轉速，以達到節能效果|保護功能： 需具備高低壓力保護、防凍保護、過載保護、欠相保護及自動復歸功能|避震安裝： 主機須安裝於原廠提供之彈簧式避震器上，以減少運轉振動傳遞至建築結構|空間留設： 散熱進出風口須依原廠要求留設足夠空間，避免熱氣短循環影響效率|真空維持測試，停止泵運轉後維持 24 小時，真空度損失不得超過 50μm 水柱|散熱鰭片的完整性（無倒片或壓傷）|外部電源接線箱的防水等級
tab1,ACH-1-3,氣冷變頻式冰水主機 #1-3,製冷能力=135 kW|輸入功率=45KW|壓縮機=1定2變頻|電源=480V / 3Ø / 60Hz|冷媒=R410a|COP=3,氣冷變頻式冰水主機:1|彈簧式避震器:4,銘牌規格與設計相符|防蝕處理： 散熱鋁片須進行防蝕處理（如藍色鰭片），底盤與機架應採用耐蝕材質或經防銹處理|變頻調節功能： 主機須具備變頻（Inverter）驅動，可根據空調負載需求自動調整壓縮機轉速，以達到節能效果|保護功能： 需具備高低壓力保護、防凍保護、過載保護、欠相保護及自動復歸功能|避震安裝： 主機須安裝於原廠提供之彈簧式避震器上，以減少運轉振動傳遞至建築結構|空間留設： 散熱進出風口須依原廠要求留設足夠空間，避免熱氣短循環影響效率|真空維持測試，停止泵運轉後維持 24 小時，真空度損失不得超過 50μm 水柱|散熱鰭片的完整性（無倒片或壓傷）|外部電源接線箱的防水等級
tab1,ACH-1-4,氣冷變頻式冰水主機 #1-4,製冷能力=135 kW|輸入功率=45KW|壓縮機=1定2變頻|電源=480V / 3Ø / 60Hz|冷媒=R410a|COP=3,氣冷變頻式冰水主機:1|彈簧式避震器:4,銘牌規格與設計相符|防蝕處理： 散熱鋁片須進行防蝕處理（如藍色鰭片），底盤與機架應採用耐蝕材質或經防銹處理|變頻調節功能： 主機須具備變頻（Inverter）驅動，可根據空調負載需求自動調整壓縮機轉速，以達到節能效果|保護功能： 需具備高低壓力保護、防凍保護、過載保護、欠相保護及自動復歸功能|避震安裝： 主機須安裝於原廠提供之彈簧式避震器上，以減少運轉振動傳遞至建築結構|空間留設： 散熱進出風口須依原廠要求留設足夠空間，避免熱氣短循環影響效率|真空維持測試，停止泵運轉後維持 24 小時，真空度損失不得超過 50μm 水柱|散熱鰭片的完整性（無倒片或壓傷）|外部電源接線箱的防水等級
